epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4525.22,1.08916,2.34273,1.35483,1.0641,0.60008,0.33456,0.36871,0.27444,0.57543,0.31589,0.34371,0.22537,1.06502,2.42426,1.35774,1.06637,0.008053,0.008053,0.008053
61,4601.3,1.08043,2.32618,1.3489,1.06382,0.54735,0.34598,0.36496,0.274,0.52202,0.33503,0.34228,0.22744,1.05749,2.38622,1.34817,1.06283,0.00802,0.00802,0.00802
62,4679.06,1.08683,2.33392,1.34295,1.06438,0.58659,0.32521,0.3687,0.27544,0.58343,0.30244,0.34242,0.22759,1.05416,2.39523,1.32635,1.05908,0.007987,0.007987,0.007987
63,4754.29,1.08152,2.32281,1.333,1.06341,0.58564,0.34423,0.37839,0.28067,0.58543,0.32104,0.35345,0.23347,1.05601,2.37525,1.3338,1.05602,0.007954,0.007954,0.007954
64,4835.5,1.07948,2.31252,1.32836,1.06104,0.59225,0.33996,0.37468,0.27757,0.56339,0.32352,0.34719,0.23124,1.05008,2.3814,1.32851,1.06414,0.007921,0.007921,0.007921
65,4911.94,1.08014,2.31744,1.32747,1.06197,0.57479,0.32643,0.36098,0.26739,0.60484,0.29247,0.33372,0.22033,1.05545,2.39565,1.35267,1.06211,0.007888,0.007888,0.007888
66,4990.64,1.07314,2.29912,1.3152,1.06076,0.59761,0.3339,0.37692,0.28128,0.5674,0.3144,0.34861,0.23255,1.05151,2.36568,1.30959,1.05814,0.007855,0.007855,0.007855
67,5067.42,1.07341,2.29696,1.32002,1.05889,0.60884,0.33909,0.37431,0.27885,0.59663,0.32035,0.34763,0.23146,1.05181,2.36242,1.31787,1.05583,0.007822,0.007822,0.007822
68,5144.19,1.07285,2.3045,1.31502,1.06087,0.63317,0.33836,0.37983,0.28212,0.60907,0.31939,0.35243,0.23493,1.04687,2.38288,1.29903,1.05687,0.007789,0.007789,0.007789
69,5224.16,1.06595,2.28381,1.31428,1.05733,0.60524,0.33633,0.37748,0.28343,0.56957,0.31917,0.34929,0.23474,1.05231,2.38474,1.30659,1.05763,0.007756,0.007756,0.007756
70,5299.78,1.07096,2.30115,1.30323,1.05753,0.60966,0.35502,0.38566,0.2879,0.58714,0.3333,0.35942,0.23963,1.05212,2.38904,1.30319,1.05928,0.007723,0.007723,0.007723
71,5375.8,1.06162,2.28295,1.29093,1.05357,0.60271,0.34371,0.37621,0.28032,0.60085,0.31849,0.3504,0.23217,1.04094,2.37286,1.31245,1.05252,0.00769,0.00769,0.00769
72,5449.99,1.06091,2.27702,1.29737,1.05651,0.58137,0.34449,0.38243,0.28535,0.57663,0.31196,0.3532,0.23569,1.03832,2.37578,1.29133,1.05109,0.007657,0.007657,0.007657
73,5524.16,1.06171,2.2793,1.28425,1.05212,0.57583,0.354,0.37902,0.28388,0.5461,0.33577,0.35611,0.23351,1.04358,2.36343,1.30813,1.05527,0.007624,0.007624,0.007624
74,5598.99,1.05681,2.26249,1.27652,1.05293,0.61157,0.33706,0.38288,0.28687,0.61171,0.30886,0.35597,0.23915,1.04529,2.3556,1.29153,1.05516,0.007591,0.007591,0.007591
75,5673.65,1.05165,2.25933,1.27652,1.05017,0.60843,0.34928,0.38413,0.28901,0.58473,0.32616,0.35857,0.24099,1.04739,2.35274,1.3033,1.04908,0.007558,0.007558,0.007558
76,5747.66,1.0533,2.27073,1.27444,1.04974,0.55097,0.36357,0.386,0.28991,0.53315,0.34018,0.36079,0.2452,1.04321,2.36312,1.2768,1.05122,0.007525,0.007525,0.007525
77,5822.49,1.05852,2.27555,1.28225,1.05151,0.61417,0.35694,0.38746,0.2917,0.60173,0.33514,0.36144,0.24284,1.03999,2.34973,1.2746,1.05392,0.007492,0.007492,0.007492
78,5898.05,1.05592,2.25764,1.26717,1.04774,0.61441,0.33879,0.3849,0.2902,0.59658,0.31785,0.3579,0.23917,1.02959,2.32971,1.27357,1.04964,0.007459,0.007459,0.007459
79,5972.41,1.05092,2.25073,1.26227,1.04946,0.62846,0.34542,0.38089,0.2808,0.59586,0.32478,0.35153,0.2325,1.04039,2.35112,1.28154,1.05168,0.007426,0.007426,0.007426
80,6047.15,1.04767,2.24042,1.25729,1.04594,0.55345,0.36862,0.38949,0.29196,0.52776,0.34933,0.36385,0.24338,1.03512,2.35131,1.26845,1.04746,0.007393,0.007393,0.007393
81,6122.71,1.05345,2.25779,1.25913,1.04786,0.59211,0.35205,0.38711,0.29281,0.55965,0.33292,0.35876,0.24207,1.02778,2.35103,1.27494,1.04681,0.00736,0.00736,0.00736
82,6196.84,1.04279,2.24147,1.2534,1.04572,0.59895,0.35435,0.38776,0.29293,0.56954,0.33499,0.36021,0.24353,1.02419,2.34305,1.26323,1.04822,0.007327,0.007327,0.007327
83,6270.73,1.03191,2.20793,1.23857,1.04273,0.64875,0.34143,0.38773,0.29017,0.62211,0.32502,0.36174,0.23929,1.03077,2.33201,1.25436,1.0469,0.007294,0.007294,0.007294
84,6345.31,1.0421,2.23766,1.24691,1.04601,0.61772,0.3479,0.38602,0.28688,0.58356,0.32855,0.358,0.23811,1.04215,2.34808,1.26763,1.05194,0.007261,0.007261,0.007261
85,6420.02,1.04652,2.24584,1.23619,1.04366,0.62578,0.33921,0.38415,0.28684,0.60274,0.32173,0.35803,0.23788,1.03415,2.33764,1.26332,1.04852,0.007228,0.007228,0.007228
86,6494.82,1.0432,2.24136,1.2403,1.04459,0.5977,0.34702,0.38886,0.29513,0.57561,0.32618,0.36199,0.2457,1.02559,2.33638,1.2544,1.0458,0.007195,0.007195,0.007195
87,6570,1.04657,2.23705,1.2364,1.0423,0.62896,0.34299,0.38077,0.28932,0.60549,0.32816,0.35714,0.2399,1.02994,2.33193,1.24915,1.04888,0.007162,0.007162,0.007162
88,6645.01,1.04107,2.23094,1.22861,1.04274,0.58355,0.35684,0.38445,0.29061,0.57053,0.33518,0.35982,0.2408,1.02911,2.31911,1.25453,1.04854,0.007129,0.007129,0.007129
89,6719.18,1.03787,2.22518,1.2286,1.04269,0.57475,0.35907,0.39052,0.29552,0.55436,0.33854,0.361,0.24324,1.02281,2.3395,1.24572,1.04451,0.007096,0.007096,0.007096
90,6794.21,1.03694,2.21821,1.21863,1.04117,0.61878,0.34989,0.39093,0.29182,0.60733,0.33009,0.36404,0.24102,1.03098,2.32552,1.25625,1.04996,0.007063,0.007063,0.007063
91,6869.09,1.03313,2.22244,1.2222,1.0402,0.63916,0.34656,0.39138,0.29366,0.61535,0.32617,0.36496,0.24557,1.0197,2.32994,1.24668,1.03984,0.00703,0.00703,0.00703
92,6944.01,1.03541,2.22957,1.21456,1.03969,0.60638,0.35418,0.39314,0.29651,0.58127,0.33726,0.36807,0.24874,1.02274,2.31167,1.24401,1.04362,0.006997,0.006997,0.006997
93,7018.18,1.04121,2.2455,1.21478,1.04254,0.63247,0.33945,0.38912,0.29127,0.60974,0.32193,0.36472,0.24373,1.02825,2.32647,1.25161,1.04773,0.006964,0.006964,0.006964
94,7092.89,1.02373,2.18343,1.20131,1.03622,0.59339,0.35464,0.38715,0.29009,0.58953,0.32905,0.3609,0.24201,1.02637,2.32304,1.24014,1.04525,0.006931,0.006931,0.006931
95,7167.9,1.03795,2.21584,1.202,1.03995,0.61461,0.35101,0.38716,0.2914,0.58122,0.33249,0.36247,0.24053,1.01699,2.33183,1.24343,1.03982,0.006898,0.006898,0.006898
96,7243.9,1.0389,2.23014,1.20862,1.03942,0.60411,0.36123,0.39702,0.29633,0.61933,0.32951,0.36937,0.24447,1.02132,2.31633,1.23574,1.03853,0.006865,0.006865,0.006865
97,7318.5,1.03495,2.21805,1.20115,1.03796,0.57257,0.36295,0.39417,0.2936,0.58779,0.33553,0.37081,0.24689,1.01917,2.30682,1.23368,1.04152,0.006832,0.006832,0.006832
98,7393.31,1.02776,2.21884,1.19124,1.03485,0.61317,0.36247,0.39883,0.29724,0.5965,0.33948,0.37068,0.24947,1.02903,2.31474,1.24152,1.05171,0.006799,0.006799,0.006799
99,7468.6,1.0261,2.21356,1.18719,1.0348,0.60874,0.36315,0.40117,0.30258,0.58339,0.34205,0.3748,0.25374,1.01583,2.30107,1.232,1.03891,0.006766,0.006766,0.006766
100,7543.8,1.0313,2.21183,1.19662,1.03855,0.62,0.36176,0.40216,0.29961,0.60149,0.3378,0.37372,0.24824,1.02052,2.31297,1.23585,1.04391,0.006733,0.006733,0.006733
101,7618.99,1.02937,2.2144,1.18829,1.03654,0.62842,0.36209,0.40337,0.30578,0.60393,0.3441,0.37927,0.25344,1.01412,2.29666,1.21788,1.03837,0.0067,0.0067,0.0067
102,7693.21,1.02833,2.21109,1.18615,1.03607,0.64752,0.36736,0.41167,0.31304,0.63122,0.34758,0.38465,0.25999,1.0171,2.29407,1.21827,1.03762,0.006667,0.006667,0.006667
103,7768.33,1.02395,2.20034,1.18751,1.03321,0.63249,0.35847,0.40537,0.30733,0.61284,0.33619,0.38008,0.2554,1.01175,2.30416,1.21546,1.03571,0.006634,0.006634,0.006634
104,7843.03,1.01897,2.18526,1.17298,1.03249,0.61296,0.36303,0.40064,0.30184,0.58991,0.34336,0.37452,0.25144,1.01182,2.2922,1.21637,1.0392,0.006601,0.006601,0.006601
105,7917.69,1.02093,2.19127,1.17719,1.03289,0.61951,0.36831,0.40164,0.30383,0.59066,0.34824,0.37312,0.25498,1.00759,2.30893,1.20446,1.03545,0.006568,0.006568,0.006568
106,7992.22,1.01952,2.19202,1.17759,1.03323,0.61479,0.36105,0.39613,0.30024,0.58771,0.3428,0.37124,0.24778,1.00368,2.29404,1.2106,1.03754,0.006535,0.006535,0.006535
107,8067.25,1.01938,2.19333,1.17227,1.02995,0.65377,0.35177,0.40086,0.30476,0.62917,0.33212,0.37429,0.24811,1.00901,2.29635,1.21449,1.0365,0.006502,0.006502,0.006502
108,8142.14,1.0185,2.18915,1.15913,1.03077,0.6499,0.35252,0.40036,0.30527,0.62563,0.33425,0.37545,0.25283,1.00764,2.29895,1.21334,1.0382,0.006469,0.006469,0.006469
109,8216.83,1.01895,2.19982,1.17093,1.03261,0.6464,0.35644,0.40213,0.30453,0.63108,0.33571,0.37632,0.25508,1.00957,2.28559,1.19558,1.03923,0.006436,0.006436,0.006436
110,8291.69,1.02369,2.20004,1.16465,1.03163,0.61746,0.3623,0.39911,0.30444,0.66336,0.32586,0.37344,0.25236,1.00075,2.29942,1.20543,1.03357,0.006403,0.006403,0.006403
111,8366.88,1.01841,2.18818,1.16978,1.03209,0.61808,0.36735,0.40346,0.30696,0.60888,0.34303,0.37828,0.25384,0.99746,2.30254,1.20287,1.03071,0.00637,0.00637,0.00637
112,8441.21,1.01935,2.18372,1.16188,1.03369,0.60842,0.3707,0.4029,0.30753,0.58889,0.34523,0.37792,0.25501,0.9987,2.31254,1.19948,1.0325,0.006337,0.006337,0.006337
113,8515.77,1.01539,2.17502,1.15194,1.02802,0.6049,0.36616,0.40442,0.30589,0.57083,0.34521,0.37738,0.25399,1.00609,2.28945,1.2011,1.03337,0.006304,0.006304,0.006304
114,8590.3,1.01459,2.1732,1.1566,1.03082,0.6665,0.36475,0.41287,0.31219,0.63911,0.34546,0.38758,0.26036,1.00453,2.29206,1.19753,1.03382,0.006271,0.006271,0.006271
115,8665.06,1.01333,2.17277,1.15038,1.02932,0.58579,0.38017,0.40564,0.30716,0.57026,0.35672,0.37852,0.25459,1.00161,2.29287,1.19161,1.0331,0.006238,0.006238,0.006238
116,8738.98,0.99864,2.15189,1.14373,1.02249,0.64044,0.36234,0.40647,0.307,0.64287,0.33398,0.37848,0.25385,0.99977,2.28458,1.19789,1.03183,0.006205,0.006205,0.006205
117,8812.99,1.0078,2.17397,1.146,1.0277,0.61446,0.36806,0.40355,0.30227,0.59939,0.3426,0.37589,0.25028,1.00473,2.29177,1.19793,1.0355,0.006172,0.006172,0.006172
118,8889.29,1.00625,2.15585,1.1474,1.02667,0.61179,0.37126,0.40932,0.30891,0.62038,0.34432,0.38465,0.2577,0.99721,2.2868,1.19591,1.03207,0.006139,0.006139,0.006139
119,8964.55,1.0032,2.16595,1.13276,1.02532,0.64529,0.35344,0.40223,0.30325,0.61427,0.33492,0.37534,0.25323,0.99934,2.28734,1.19492,1.03127,0.006106,0.006106,0.006106
120,9039.46,1.00754,2.17227,1.13762,1.02523,0.655,0.35307,0.40073,0.30448,0.62112,0.33527,0.37501,0.25084,1.00161,2.30798,1.2008,1.03142,0.006073,0.006073,0.006073
121,9113.28,1.0016,2.1552,1.12933,1.0252,0.63109,0.36828,0.41311,0.31121,0.63647,0.33856,0.38419,0.25821,0.99662,2.27268,1.17748,1.03429,0.00604,0.00604,0.00604
122,9188.54,1.00885,2.16293,1.1372,1.02485,0.60882,0.36829,0.4038,0.30592,0.58302,0.34783,0.37827,0.2519,0.99893,2.2855,1.1824,1.02977,0.006007,0.006007,0.006007
123,9263.79,1.00083,2.15591,1.1184,1.02211,0.64651,0.35951,0.40445,0.30544,0.61961,0.3397,0.37997,0.25394,0.99653,2.27654,1.17701,1.02933,0.005974,0.005974,0.005974
